id,mode,recommended_amount,pnl,maxdd,sharpe,win_rate,strategy_name,ltf_interval,created_at,raw_row
70,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:20.568756,"{'trial_id': 70, 'number': 69, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:20.568756', 'datetime_complete': '2025-09-28 04:32:23.324558'}"
71,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:23.335410,"{'trial_id': 71, 'number': 70, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:23.335410', 'datetime_complete': '2025-09-28 04:32:26.125349'}"
72,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:26.138196,"{'trial_id': 72, 'number': 71, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:26.138196', 'datetime_complete': '2025-09-28 04:32:28.850808'}"
73,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:28.862939,"{'trial_id': 73, 'number': 72, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:28.862939', 'datetime_complete': '2025-09-28 04:32:31.622091'}"
74,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:31.632637,"{'trial_id': 74, 'number': 73, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:31.632637', 'datetime_complete': '2025-09-28 04:32:34.289374'}"
75,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:34.300395,"{'trial_id': 75, 'number': 74, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:34.300395', 'datetime_complete': '2025-09-28 04:32:36.918146'}"
76,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:36.930788,"{'trial_id': 76, 'number': 75, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:36.930788', 'datetime_complete': '2025-09-28 04:32:39.870737'}"
77,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:39.883313,"{'trial_id': 77, 'number': 76, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:39.883313', 'datetime_complete': '2025-09-28 04:32:42.600429'}"
78,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:42.613091,"{'trial_id': 78, 'number': 77, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:42.613091', 'datetime_complete': '2025-09-28 04:32:45.321063'}"
79,spot,50,0.0,0.0,0.0,0.0,TD13+RSI,5m,2025-09-28 04:32:45.334306,"{'trial_id': 79, 'number': 78, 'study_id': 1, 'state': 'COMPLETE', 'datetime_start': '2025-09-28 04:32:45.334306', 'datetime_complete': '2025-09-28 04:32:48.152774'}"
