trial_id,number,study_id,state,datetime_start,datetime_complete,pnl,maxdd,sharpe,dca_max_steps,dca_ratio,dca_spacing,rsi_threshold,td_confirm,win_rate
62,61,1,COMPLETE,2025-09-28 04:31:58.107017,2025-09-28 04:32:00.939363,-0.01574815456398361,0.38902606646508564,0.6873353812120924,1.0,0.352032934531469,0.011139736090854085,78.0,0.0,0.0
63,62,1,COMPLETE,2025-09-28 04:32:00.951454,2025-09-28 04:32:03.679244,-0.5094927560004927,0.4414607300144006,1.3030461080811997,4.0,0.2218781030363407,0.03853859444804587,55.0,1.0,0.0
64,63,1,COMPLETE,2025-09-28 04:32:03.689797,2025-09-28 04:32:06.518256,0.1259974114988442,0.502273657906731,0.8502817658321262,1.0,0.11615106826511928,0.0428402838504335,37.0,0.0,0.0
65,64,1,COMPLETE,2025-09-28 04:32:06.528976,2025-09-28 04:32:09.538431,0.19695549033500392,0.4376234700208941,0.954284930462706,1.0,0.10827146937784625,0.02624877681840241,43.0,0.0,0.0
66,65,1,COMPLETE,2025-09-28 04:32:09.550738,2025-09-28 04:32:12.233789,0.22956022581108668,0.4370147089328537,1.0638824249401462,3.0,0.20817625353590194,0.04301950149265898,26.0,1.0,0.0
67,66,1,COMPLETE,2025-09-28 04:32:12.244790,2025-09-28 04:32:15.006079,0.5377789830940606,0.5347634507332136,1.2303754720160576,1.0,0.1388841527399583,0.0309588722367172,47.0,0.0,0.0
68,67,1,COMPLETE,2025-09-28 04:32:15.016880,2025-09-28 04:32:17.799251,0.11976842472827601,0.5280913636356621,1.167721043147686,5.0,0.3745264051000784,0.019533604414677212,64.0,1.0,0.0
69,68,1,COMPLETE,2025-09-28 04:32:17.812138,2025-09-28 04:32:20.558222,-0.40395707339200443,0.4744858598574832,0.8676583499834115,5.0,0.3421969977155127,0.019467518109021233,72.0,0.0,0.0
70,69,1,COMPLETE,2025-09-28 04:32:20.568756,2025-09-28 04:32:23.324558,-0.06960238713352213,0.5069222128322679,1.2098283345165646,5.0,0.23127945798632588,0.020885550487303027,80.0,1.0,0.0
71,70,1,COMPLETE,2025-09-28 04:32:23.335410,2025-09-28 04:32:26.125349,-0.30100110744661956,0.44003136261510056,0.839898570730561,1.0,0.3421969977155127,0.023196029083651995,50.0,0.0,0.0
72,71,1,COMPLETE,2025-09-28 04:32:26.138196,2025-09-28 04:32:28.850808,-0.9614596745426889,0.3971583233248313,1.2144631090535802,2.0,0.24989550834929225,0.022897375028704117,53.0,1.0,0.0
73,72,1,COMPLETE,2025-09-28 04:32:28.862939,2025-09-28 04:32:31.622091,-0.39052077723219153,0.5786669715752942,1.177789766811689,3.0,0.14823574848500867,0.044081784787079546,77.0,1.0,0.0
74,73,1,COMPLETE,2025-09-28 04:32:31.632637,2025-09-28 04:32:34.289374,-0.16615017773711552,0.5491154677111627,0.9115532622320196,2.0,0.11443719151279913,0.022897375028704117,52.0,1.0,0.0
75,74,1,COMPLETE,2025-09-28 04:32:34.300395,2025-09-28 04:32:36.918146,0.03389263907807712,0.8174810550681992,1.1845708913189246,1.0,0.4371647135278621,0.02158376809040772,66.0,0.0,0.0
76,75,1,COMPLETE,2025-09-28 04:32:36.930788,2025-09-28 04:32:39.870737,-0.11026146990050978,0.43750976204656244,1.0796620957419585,2.0,0.3421969977155127,0.013702398693507317,54.0,0.0,0.0
77,76,1,COMPLETE,2025-09-28 04:32:39.883313,2025-09-28 04:32:42.600429,0.5428950974380793,0.5560784659535016,0.9009249548027247,4.0,0.28543575346875555,0.0309588722367172,67.0,0.0,0.0
78,77,1,COMPLETE,2025-09-28 04:32:42.613091,2025-09-28 04:32:45.321063,0.1382844400493376,0.702281575157713,0.8232457554254232,1.0,0.15960924724790987,0.018270504326561295,66.0,0.0,0.0
79,78,1,COMPLETE,2025-09-28 04:32:45.334306,2025-09-28 04:32:48.152774,-0.47205863111730384,0.40501489439876537,0.8836818865629757,4.0,0.23380738249285,0.018270504326561295,33.0,1.0,0.0
80,79,1,COMPLETE,2025-09-28 04:32:48.161990,2025-09-28 04:32:50.920293,0.3594852174820027,0.3971501025581103,1.158970957963111,2.0,0.11702427822503254,0.04059101483188903,52.0,1.0,0.0
